UTC;model1.direcao_vento_100m;model1.direcao_vento_10m;model1.velocidade_vento_100m;model1.velocidade_vento_10m;target.velocidade_vento;model2.direcao_vento_10m;model2.direcao_vento_100m;model2.velocidade_vento_10m;model2.velocidade_vento_100m
2017-04-01 00:30:00;297.68;289.28;7.95;5.23;7.74;281.45;283.11;5.01;8.03
2017-04-01 01:00:00;293.96;286.44;7.73;5.08;5.6;280.59;282.45;4.73;7.63
2017-04-01 01:30:00;290.03;283.42;7.54;4.93;5.25;279.62;281.73;4.46;7.23
2017-04-01 02:00:00;285.92;280.23;7.38;4.81;5.94;278.53;280.92;4.19;6.83
2017-04-01 02:30:00;281.65;276.87;7.27;4.69;7.9;277.29;280.0;3.92;6.43
2017-04-01 03:00:00;277.28;273.37;7.2;4.6;4.84;275.86;278.97;3.66;6.03
2017-04-01 03:30:00;274.62;270.52;6.99;4.47;4.16;273.64;276.92;3.66;5.99
2017-04-01 04:00:00;271.81;267.51;6.81;4.36;5.01;271.42;274.83;3.67;5.95
2017-04-01 04:30:00;268.85;264.35;6.64;4.26;5.13;269.22;272.72;3.68;5.91
2017-04-01 05:00:00;265.75;261.05;6.49;4.17;5.72;267.04;270.59;3.7;5.89
2017-04-01 05:30:00;262.51;257.62;6.36;4.09;5.43;264.88;268.45;3.73;5.87
2017-04-01 06:00:00;259.14;254.07;6.25;4.04;4.89;262.75;266.29;3.76;5.87
2017-04-01 06:30:00;261.51;256.4;5.94;3.83;4.83;264.98;267.75;3.66;5.72
2017-04-01 07:00:00;264.13;258.99;5.65;3.63;4.47;267.32;269.28;3.56;5.58
2017-04-01 07:30:00;267.02;261.87;5.37;3.43;4.38;269.8;270.9;3.47;5.44
2017-04-01 08:00:00;270.23;265.09;5.11;3.25;4.39;272.4;272.59;3.38;5.3
2017-04-01 08:30:00;273.77;268.68;4.86;3.08;4.2;275.13;274.37;3.31;5.18
2017-04-01 09:00:00;277.67;272.68;4.63;2.92;3.89;277.98;276.24;3.24;5.05
2017-04-01 09:30:00;276.86;267.66;4.32;2.67;3.42;279.99;277.36;3.07;4.86
2017-04-01 10:00:00;275.92;261.66;4.01;2.44;2.79;282.24;278.58;2.91;4.67
2017-04-01 10:30:00;274.82;254.51;3.71;2.25;2.61;284.75;279.9;2.75;4.49
2017-04-01 11:00:00;273.52;246.17;3.4;2.09;2.15;287.57;281.33;2.59;4.31
2017-04-01 11:30:00;271.96;236.73;3.09;1.99;2.31;290.72;282.89;2.45;4.13
2017-04-01 12:00:00;270.07;226.57;2.79;1.94;1.97;294.27;284.58;2.31;3.95
2017-04-01 12:30:00;273.52;221.19;2.46;1.72;1.68;300.62;287.81;1.99;3.55
2017-04-01 13:00:00;278.04;214.25;2.13;1.51;1.35;309.26;291.85;1.7;3.16
2017-04-01 13:30:00;284.12;205.28;1.83;1.33;0.94;321.02;296.98;1.47;2.79
2017-04-01 14:00:00;292.5;193.89;1.55;1.19;0.7;336.33;303.6;1.31;2.45
2017-04-01 14:30:00;304.14;180.24;1.32;1.11;0.86;354.03;312.18;1.27;2.16
2017-04-01 15:00:00;319.73;165.45;1.16;1.1;1.32;11.18;323.16;1.35;1.92
2017-04-01 15:30:00;338.84;150.48;1.02;1.0;1.27;30.03;327.96;1.22;1.41
2017-04-01 16:00:00;0.95;133.61;1.01;0.98;1.44;50.89;338.05;1.23;0.92
2017-04-01 16:30:00;20.49;117.44;1.15;1.04;0.74;69.01;6.94;1.39;0.51
2017-04-01 17:00:00;34.68;104.03;1.38;1.18;0.77;82.32;70.59;1.66;0.49
2017-04-01 17:30:00;44.33;93.8;1.68;1.36;0.94;91.58;101.61;1.99;0.89
2017-04-01 18:00:00;50.98;86.19;2.0;1.58;1.82;98.08;112.27;2.36;1.38
2017-04-01 18:30:00;67.09;97.38;1.88;1.63;2.17;98.5;111.56;2.21;1.4
2017-04-01 19:00:00;83.95;107.51;1.91;1.74;2.17;98.97;110.88;2.06;1.42
2017-04-01 19:30:00;98.96;116.2;2.1;1.9;1.94;99.52;110.21;1.91;1.44
2017-04-01 20:00:00;110.84;123.42;2.41;2.09;1.77;100.17;109.56;1.76;1.46
2017-04-01 20:30:00;119.76;129.35;2.79;2.31;2.08;100.93;108.93;1.61;1.48
2017-04-01 21:00:00;126.4;134.19;3.23;2.56;1.97;101.84;108.31;1.47;1.5
2017-04-01 21:30:00;130.68;136.42;3.03;2.29;1.66;111.84;121.42;1.47;1.55
2017-04-01 22:00:00;135.54;139.22;2.84;2.03;2.59;121.49;133.19;1.52;1.67
2017-04-01 22:30:00;141.03;142.85;2.68;1.77;2.28;130.33;143.04;1.6;1.84
2017-04-01 23:00:00;147.16;147.67;2.55;1.52;6.33;138.09;150.95;1.72;2.07
2017-04-01 23:30:00;153.87;154.29;2.45;1.29;5.5;144.73;157.22;1.87;2.32
2017-04-02 00:00:00;161.05;163.6;2.38;1.09;1.88;150.34;162.2;2.04;2.6
2017-04-02 00:30:00;167.29;170.52;2.66;1.44;1.58;156.75;165.01;1.97;2.58
2017-04-02 01:00:00;172.32;174.65;2.96;1.81;2.06;163.55;167.85;1.93;2.57
2017-04-02 01:30:00;176.39;177.37;3.28;2.19;3.09;170.56;170.72;1.91;2.56
2017-04-02 02:00:00;179.72;179.29;3.62;2.57;2.72;177.58;173.6;1.93;2.56
2017-04-02 02:30:00;182.49;180.72;3.96;2.95;3.53;184.4;176.47;1.97;2.56
2017-04-02 03:00:00;184.8;181.82;4.31;3.34;5.28;190.86;179.33;2.04;2.57
2017-04-02 03:30:00;193.2;188.79;4.65;3.53;5.52;210.42;199.08;1.92;2.39
2017-04-02 04:00:00;200.33;194.97;5.07;3.76;4.57;229.99;219.31;2.04;2.51
2017-04-02 04:30:00;206.3;200.38;5.55;4.03;2.98;245.84;235.85;2.35;2.9
2017-04-02 05:00:00;211.26;205.06;6.09;4.34;3.42;257.27;247.73;2.8;3.47
2017-04-02 05:30:00;215.4;209.11;6.66;4.67;3.83;265.32;256.01;3.33;4.15
2017-04-02 06:00:00;218.86;212.61;7.27;5.02;4.18;271.07;261.9;3.91;4.88
2017-04-02 06:30:00;228.15;222.58;6.88;4.78;4.24;275.76;269.18;4.12;5.19
2017-04-02 07:00:00;238.22;233.23;6.7;4.69;4.26;279.97;275.56;4.36;5.57
2017-04-02 07:30:00;248.53;243.89;6.73;4.78;5.39;283.72;281.07;4.61;6.02
2017-04-02 08:00:00;258.42;253.85;6.98;5.02;7.8;287.07;285.78;4.89;6.51
2017-04-02 08:30:00;267.4;262.68;7.41;5.39;8.46;290.06;289.82;5.18;7.03
2017-04-02 09:00:00;275.22;270.2;8.01;5.88;8.34;292.72;293.27;5.48;7.59
2017-04-02 09:30:00;275.89;271.25;8.06;5.86;7.6;292.4;292.51;5.42;7.6
2017-04-02 10:00:00;276.56;272.3;8.11;5.85;6.57;292.08;291.75;5.35;7.62
2017-04-02 10:30:00;277.21;273.37;8.16;5.83;6.36;291.75;291.0;5.29;7.64
2017-04-02 11:00:00;277.86;274.43;8.21;5.82;6.03;291.4;290.25;5.23;7.65
2017-04-02 11:30:00;278.5;275.5;8.26;5.82;5.84;291.06;289.5;5.17;7.67
2017-04-02 12:00:00;279.13;276.57;8.32;5.81;5.49;290.7;288.76;5.11;7.69
2017-04-02 12:30:00;277.76;274.41;7.7;5.38;5.13;290.2;288.3;4.99;7.44
2017-04-02 13:00:00;276.14;271.87;7.08;4.97;4.74;289.67;287.81;4.87;7.18
2017-04-02 13:30:00;274.22;268.89;6.47;4.57;4.58;289.12;287.28;4.75;6.92
2017-04-02 14:00:00;271.91;265.33;5.87;4.18;4.86;288.53;286.71;4.63;6.66
2017-04-02 14:30:00;269.07;261.06;5.28;3.81;4.33;287.92;286.09;4.51;6.4
2017-04-02 15:00:00;265.53;255.91;4.71;3.46;3.67;287.27;285.42;4.39;6.15
2017-04-02 15:30:00;266.04;256.3;5.15;3.66;3.79;286.35;285.15;4.47;6.36
2017-04-02 16:00:00;266.47;256.64;5.59;3.86;4.74;285.46;284.9;4.55;6.57
2017-04-02 16:30:00;266.84;256.95;6.02;4.06;5.71;284.59;284.66;4.63;6.77
2017-04-02 17:00:00;267.16;257.22;6.46;4.26;6.53;283.76;284.44;4.71;6.98
2017-04-02 17:30:00;267.43;257.48;6.9;4.46;7.5;282.96;284.23;4.79;7.19
2017-04-02 18:00:00;267.68;257.71;7.34;4.66;8.22;282.18;284.03;4.88;7.4
2017-04-02 18:30:00;270.23;261.11;7.65;4.91;9.13;282.9;285.48;4.99;7.55
2017-04-02 19:00:00;272.57;264.17;7.97;5.16;9.36;283.59;286.87;5.1;7.71
2017-04-02 19:30:00;274.73;266.94;8.31;5.43;9.01;284.24;288.21;5.21;7.87
2017-04-02 20:00:00;276.73;269.44;8.65;5.71;8.83;284.87;289.49;5.32;8.03
2017-04-02 20:30:00;278.56;271.71;9.01;6.01;8.05;285.48;290.72;5.43;8.2
2017-04-02 21:00:00;280.26;273.76;9.37;6.31;7.8;286.06;291.9;5.55;8.37
2017-04-02 21:30:00;282.89;276.07;9.18;6.22;7.39;288.13;294.24;5.46;8.19
2017-04-02 22:00:00;285.62;278.44;9.0;6.14;6.85;290.26;296.69;5.39;8.02
2017-04-02 22:30:00;288.46;280.87;8.85;6.07;6.43;292.45;299.24;5.32;7.86
2017-04-02 23:00:00;291.38;283.34;8.73;6.02;6.46;294.69;301.89;5.26;7.72
2017-04-02 23:30:00;294.39;285.86;8.62;5.97;6.43;296.99;304.63;5.2;7.6
2017-04-03 00:00:00;297.45;288.41;8.54;5.94;6.42;299.32;307.45;5.16;7.49
2017-04-03 00:30:00;298.77;290.02;8.14;5.68;6.86;301.47;309.31;5.07;7.31
2017-04-03 01:00:00;300.22;291.78;7.75;5.42;6.81;303.7;311.26;4.98;7.14
2017-04-03 01:30:00;301.82;293.72;7.36;5.17;6.37;306.0;313.31;4.9;6.98
2017-04-03 02:00:00;303.6;295.86;6.98;4.93;6.05;308.37;315.44;4.83;6.83
2017-04-03 02:30:00;305.58;298.21;6.61;4.69;5.44;310.8;317.68;4.77;6.68
2017-04-03 03:00:00;307.8;300.81;6.24;4.46;4.73;313.3;320.01;4.72;6.55
2017-04-03 03:30:00;310.32;304.05;6.17;4.49;3.22;315.57;321.39;4.71;6.45
2017-04-03 04:00:00;312.88;307.23;6.12;4.54;3.59;317.84;322.83;4.71;6.35
2017-04-03 04:30:00;315.48;310.34;6.08;4.6;3.78;320.11;324.3;4.72;6.25
2017-04-03 05:00:00;318.12;313.36;6.05;4.68;4.11;322.36;325.82;4.74;6.16
2017-04-03 05:30:00;320.77;316.28;6.03;4.76;4.09;324.59;327.39;4.77;6.07
2017-04-03 06:00:00;323.44;319.09;6.03;4.86;4.63;326.8;329.0;4.8;5.99
2017-04-03 06:30:00;320.69;315.77;5.74;4.63;5.1;327.33;328.83;4.65;5.78
2017-04-03 07:00:00;317.66;312.11;5.46;4.41;5.06;327.89;328.64;4.51;5.58
2017-04-03 07:30:00;314.32;308.1;5.2;4.22;4.58;328.48;328.44;4.36;5.37
2017-04-03 08:00:00;310.65;303.72;4.96;4.04;3.92;329.12;328.22;4.22;5.16
2017-04-03 08:30:00;306.62;298.98;4.75;3.9;3.56;329.8;327.98;4.07;4.95
2017-04-03 09:00:00;302.23;293.91;4.56;3.78;3.27;330.53;327.73;3.93;4.75
2017-04-03 09:30:00;298.74;290.63;4.8;3.99;3.12;329.67;325.73;3.8;4.61
2017-04-03 10:00:00;295.59;287.7;5.06;4.22;3.46;328.74;323.6;3.67;4.47
2017-04-03 10:30:00;292.76;285.07;5.33;4.46;3.57;327.75;321.35;3.54;4.34
2017-04-03 11:00:00;290.21;282.71;5.61;4.7;3.74;326.69;318.96;3.41;4.22
2017-04-03 11:30:00;287.91;280.59;5.91;4.96;4.08;325.54;316.44;3.28;4.11
2017-04-03 12:00:00;285.83;278.67;6.21;5.22;4.04;324.3;313.79;3.16;4.01
2017-04-03 12:30:00;286.29;279.35;6.29;5.21;4.55;323.89;312.1;3.03;3.95
2017-04-03 13:00:00;286.73;280.03;6.37;5.21;5.21;323.43;310.37;2.9;3.9
2017-04-03 13:30:00;287.17;280.71;6.45;5.21;5.38;322.94;308.6;2.77;3.85
2017-04-03 14:00:00;287.59;281.39;6.53;5.22;5.29;322.4;306.79;2.64;3.81
2017-04-03 14:30:00;288.01;282.07;6.61;5.22;5.17;321.8;304.93;2.51;3.77
2017-04-03 15:00:00;288.41;282.75;6.7;5.22;5.16;321.14;303.04;2.39;3.74
2017-04-03 15:30:00;290.95;284.23;6.32;4.89;4.5;321.16;303.97;2.24;3.65
2017-04-03 16:00:00;293.81;285.93;5.96;4.56;4.04;321.18;304.95;2.09;3.57
2017-04-03 16:30:00;297.04;287.88;5.61;4.24;3.88;321.21;305.97;1.95;3.49
2017-04-03 17:00:00;300.67;290.16;5.29;3.92;3.62;321.24;307.05;1.8;3.41
2017-04-03 17:30:00;304.75;292.83;4.98;3.61;3.48;321.27;308.17;1.65;3.33
2017-04-03 18:00:00;309.34;296.0;4.71;3.31;2.94;321.31;309.35;1.51;3.25
2017-04-03 18:30:00;311.34;297.4;3.94;2.83;2.58;321.84;310.72;1.23;2.87
2017-04-03 19:00:00;314.31;299.38;3.17;2.36;2.5;322.68;312.52;0.95;2.49
2017-04-03 19:30:00;319.14;302.34;2.42;1.89;1.8;324.23;314.96;0.67;2.11
2017-04-03 20:00:00;328.16;307.23;1.7;1.42;0.99;327.99;318.45;0.39;1.74
2017-04-03 20:30:00;348.66;316.65;1.08;0.98;0.76;349.32;323.8;0.12;1.38
2017-04-03 21:00:00;34.85;339.2;0.83;0.61;1.22;119.96;332.83;0.19;1.03
2017-04-03 21:30:00;40.94;322.13;0.48;0.44;1.17;169.35;327.27;0.15;0.99
2017-04-03 22:00:00;74.81;291.79;0.16;0.35;1.24;206.49;321.22;0.23;0.95
2017-04-03 22:30:00;181.75;257.16;0.28;0.39;1.31;221.53;314.76;0.36;0.92
2017-04-03 23:00:00;195.81;235.18;0.62;0.54;1.23;228.61;308.02;0.49;0.91
2017-04-03 23:30:00;199.79;223.4;0.97;0.72;1.1;232.61;301.17;0.63;0.91
2017-04-04 00:00:00;201.64;216.61;1.33;0.93;1.17;235.15;294.42;0.78;0.92
2017-04-04 00:30:00;206.88;224.32;1.3;0.92;1.21;234.42;284.74;0.86;0.93
2017-04-04 01:00:00;212.28;231.93;1.29;0.94;1.26;233.83;275.52;0.94;0.97
2017-04-04 01:30:00;217.76;239.18;1.28;0.97;1.2;233.33;267.15;1.03;1.03
2017-04-04 02:00:00;223.22;245.9;1.29;1.01;0.98;232.91;259.81;1.11;1.1
2017-04-04 02:30:00;228.56;251.97;1.31;1.07;0.64;232.54;253.52;1.2;1.2
2017-04-04 03:00:00;233.7;257.38;1.34;1.14;0.49;232.23;248.2;1.28;1.3
2017-04-04 03:30:00;217.31;235.87;1.36;0.99;0.63;235.63;251.03;1.31;1.39
2017-04-04 04:00:00;202.6;211.37;1.49;1.01;0.81;238.89;253.52;1.34;1.48
2017-04-04 04:30:00;190.82;191.21;1.7;1.19;0.99;242.0;255.72;1.37;1.57
2017-04-04 05:00:00;181.89;177.57;1.96;1.47;0.95;244.94;257.67;1.41;1.67
2017-04-04 05:30:00;175.19;168.67;2.26;1.81;1.23;247.72;259.4;1.45;1.77
2017-04-04 06:00:00;170.1;162.68;2.58;2.18;1.86;250.34;260.96;1.5;1.86
2017-04-04 06:30:00;177.18;168.37;2.57;2.1;1.95;248.68;258.47;1.43;1.83
2017-04-04 07:00:00;184.19;174.44;2.61;2.05;2.21;246.86;255.88;1.37;1.79
2017-04-04 07:30:00;190.93;180.77;2.68;2.01;2.45;244.87;253.2;1.31;1.76
2017-04-04 08:00:00;197.24;187.24;2.78;2.01;1.83;242.69;250.43;1.25;1.74
2017-04-04 08:30:00;203.03;193.66;2.92;2.03;1.88;240.29;247.58;1.19;1.71
2017-04-04 09:00:00;208.24;199.9;3.08;2.07;1.66;237.66;244.67;1.13;1.7
2017-04-04 09:30:00;206.53;195.2;3.12;2.16;2.32;242.19;247.11;1.02;1.64
2017-04-04 10:00:00;204.86;190.91;3.16;2.27;2.37;247.84;249.7;0.91;1.59
2017-04-04 10:30:00;203.22;187.02;3.2;2.38;2.39;254.93;252.46;0.81;1.55
2017-04-04 11:00:00;201.63;183.51;3.24;2.51;2.47;263.77;255.38;0.73;1.51
2017-04-04 11:30:00;200.09;180.35;3.29;2.65;2.52;274.49;258.46;0.67;1.47
2017-04-04 12:00:00;198.58;177.5;3.34;2.79;2.37;286.8;261.69;0.64;1.43
2017-04-04 12:30:00;201.96;178.78;2.85;2.42;2.67;280.72;257.58;0.55;1.35
2017-04-04 13:00:00;206.7;180.52;2.38;2.05;2.92;272.41;252.96;0.47;1.28
2017-04-04 13:30:00;213.69;183.02;1.93;1.68;2.88;261.0;247.82;0.4;1.21
2017-04-04 14:00:00;224.59;186.92;1.53;1.32;2.47;245.92;242.15;0.36;1.16
2017-04-04 14:30:00;241.99;193.71;1.22;0.97;1.88;228.05;236.0;0.34;1.12
2017-04-04 15:00:00;266.99;207.73;1.08;0.64;1.51;210.36;229.46;0.36;1.09
2017-04-04 15:30:00;244.84;196.16;1.17;0.94;1.13;204.29;220.73;0.67;1.5
2017-04-04 16:00:00;227.79;190.28;1.39;1.26;0.74;202.09;215.8;0.99;1.93
2017-04-04 16:30:00;216.21;186.8;1.71;1.58;0.89;200.96;212.67;1.3;2.36
2017-04-04 17:00:00;208.41;184.5;2.07;1.91;1.27;200.27;210.52;1.62;2.81
2017-04-04 17:30:00;203.0;182.89;2.45;2.24;2.65;199.8;208.96;1.94;3.25
2017-04-04 18:00:00;199.08;181.69;2.85;2.58;3.42;199.47;207.78;2.25;3.7
2017-04-04 18:30:00;203.74;186.25;3.2;2.72;3.43;197.81;207.79;2.41;3.87
2017-04-04 19:00:00;207.45;190.33;3.57;2.89;3.82;196.34;207.81;2.56;4.04
2017-04-04 19:30:00;210.47;193.95;3.95;3.06;4.55;195.05;207.82;2.72;4.21
2017-04-04 20:00:00;212.95;197.16;4.34;3.25;4.93;193.9;207.83;2.87;4.39
2017-04-04 20:30:00;215.03;200.01;4.73;3.45;4.7;192.87;207.84;3.03;4.56
2017-04-04 21:00:00;216.78;202.55;5.13;3.65;4.17;191.94;207.85;3.19;4.73
2017-04-04 21:30:00;221.46;209.06;5.42;3.7;3.87;201.22;214.83;3.25;5.02
2017-04-04 22:00:00;225.64;215.31;5.74;3.8;4.35;209.95;220.97;3.39;5.38
2017-04-04 22:30:00;229.37;221.2;6.08;3.94;4.91;217.81;226.29;3.61;5.79
2017-04-04 23:00:00;232.68;226.63;6.45;4.11;5.52;224.69;230.87;3.88;6.24
2017-04-04 23:30:00;235.62;231.57;6.84;4.32;6.25;230.59;234.8;4.2;6.73
2017-04-05 00:00:00;238.24;236.03;7.25;4.56;6.56;235.61;238.2;4.56;7.25
2017-04-05 00:30:00;242.92;240.29;7.29;4.65;6.55;240.76;243.72;4.54;7.13
2017-04-05 01:00:00;247.51;244.37;7.38;4.76;6.54;245.93;249.38;4.55;7.09
2017-04-05 01:30:00;251.97;248.25;7.51;4.9;6.1;251.02;255.05;4.6;7.11
2017-04-05 02:00:00;256.24;251.9;7.69;5.05;5.81;255.96;260.62;4.69;7.2
2017-04-05 02:30:00;260.3;255.32;7.91;5.23;5.95;260.69;266.01;4.81;7.36
2017-04-05 03:00:00;264.12;258.51;8.17;5.42;6.07;265.16;271.13;4.96;7.58
2017-04-05 03:30:00;265.5;260.11;8.21;5.55;6.39;266.99;272.34;5.13;7.71
2017-04-05 04:00:00;266.87;261.64;8.26;5.68;6.85;268.71;273.51;5.31;7.85
2017-04-05 04:30:00;268.22;263.1;8.32;5.82;7.07;270.31;274.64;5.49;7.98
2017-04-05 05:00:00;269.56;264.48;8.38;5.96;7.05;271.81;275.74;5.68;8.12
2017-04-05 05:30:00;270.87;265.81;8.44;6.1;6.77;273.22;276.8;5.87;8.26
2017-04-05 06:00:00;272.17;267.07;8.51;6.25;6.7;274.53;277.82;6.06;8.41
2017-04-05 06:30:00;273.0;268.13;8.53;6.31;6.29;277.44;280.01;6.12;8.43
2017-04-05 07:00:00;273.82;269.18;8.56;6.37;6.42;280.29;282.18;6.2;8.47
2017-04-05 07:30:00;274.64;270.21;8.59;6.44;6.08;283.05;284.33;6.3;8.53
2017-04-05 08:00:00;275.45;271.21;8.63;6.51;6.22;285.73;286.45;6.41;8.59
2017-04-05 08:30:00;276.26;272.2;8.66;6.58;6.76;288.31;288.53;6.53;8.67
2017-04-05 09:00:00;277.06;273.16;8.7;6.65;7.51;290.79;290.58;6.67;8.75
2017-04-05 09:30:00;276.84;273.13;9.08;6.89;8.07;289.66;289.09;6.86;9.08
2017-04-05 10:00:00;276.64;273.09;9.47;7.14;8.62;288.6;287.7;7.06;9.42
2017-04-05 10:30:00;276.45;273.06;9.85;7.38;8.92;287.59;286.42;7.25;9.76
2017-04-05 11:00:00;276.28;273.03;10.23;7.63;9.85;286.64;285.22;7.45;10.11
2017-04-05 11:30:00;276.12;273.0;10.62;7.88;9.55;285.74;284.1;7.65;10.45
2017-04-05 12:00:00;275.98;272.97;11.0;8.12;9.9;284.88;283.05;7.86;10.81
2017-04-05 12:30:00;277.96;275.31;11.61;8.59;10.55;286.8;285.29;8.14;11.34
2017-04-05 13:00:00;279.74;277.39;12.23;9.07;11.21;288.58;287.33;8.43;11.88
2017-04-05 13:30:00;281.35;279.27;12.86;9.57;9.67;290.25;289.19;8.73;12.44
2017-04-05 14:00:00;282.8;280.96;13.5;10.07;9.87;291.8;290.89;9.04;13.0
2017-04-05 14:30:00;284.13;282.49;14.15;10.58;12.87;293.25;292.45;9.35;13.58
2017-04-05 15:00:00;285.34;283.88;14.81;11.09;13.25;294.6;293.88;9.67;14.17
2017-04-05 15:30:00;284.91;283.44;15.08;11.29;13.48;293.12;292.7;9.87;14.36
2017-04-05 16:00:00;284.5;283.03;15.36;11.48;13.21;291.7;291.55;10.08;14.56
2017-04-05 16:30:00;284.11;282.63;15.63;11.68;11.52;290.34;290.43;10.29;14.76
2017-04-05 17:00:00;283.73;282.24;15.91;11.88;13.91;289.03;289.34;10.51;14.96
2017-04-05 17:30:00;283.36;281.86;16.19;12.07;14.73;287.78;288.29;10.73;15.17
2017-04-05 18:00:00;283.01;281.49;16.46;12.27;15.23;286.57;287.26;10.96;15.39
2017-04-05 18:30:00;286.01;284.34;16.32;12.09;16.11;290.04;290.38;11.09;15.34
2017-04-05 19:00:00;289.06;287.28;16.23;11.94;14.93;293.42;293.52;11.26;15.34
2017-04-05 19:30:00;292.14;290.27;16.18;11.81;13.98;296.69;296.65;11.47;15.38
2017-04-05 20:00:00;295.23;293.33;16.17;11.73;13.68;299.83;299.75;11.72;15.47
2017-04-05 20:30:00;298.31;296.41;16.22;11.67;13.56;302.83;302.81;12.0;15.6
2017-04-05 21:00:00;301.36;299.52;16.31;11.65;13.85;305.68;305.8;12.31;15.78
2017-04-05 21:30:00;302.13;300.15;15.83;11.34;13.58;307.27;307.71;11.99;15.36
2017-04-05 22:00:00;302.94;300.81;15.36;11.03;13.18;308.93;309.71;11.67;14.96
2017-04-05 22:30:00;303.81;301.5;14.89;10.72;12.9;310.69;311.83;11.37;14.58
2017-04-05 23:00:00;304.73;302.24;14.42;10.41;12.85;312.54;314.05;11.08;14.23
2017-04-05 23:30:00;305.71;303.03;13.96;10.11;12.62;314.49;316.39;10.8;13.89
2017-04-06 00:00:00;306.76;303.86;13.5;9.8;11.87;316.55;318.83;10.54;13.58
2017-04-06 00:30:00;308.83;305.71;13.01;9.43;10.86;317.78;320.33;10.24;13.24
2017-04-06 01:00:00;311.06;307.71;12.54;9.06;10.07;319.1;321.9;9.96;12.91
2017-04-06 01:30:00;313.47;309.87;12.08;8.71;9.59;320.48;323.55;9.68;12.59
2017-04-06 02:00:00;316.06;312.22;11.65;8.37;9.67;321.95;325.28;9.4;12.28
2017-04-06 02:30:00;318.84;314.76;11.25;8.04;9.55;323.51;327.11;9.13;11.98
2017-04-06 03:00:00;321.82;317.5;10.87;7.74;8.93;325.16;329.02;8.87;11.69
2017-04-06 03:30:00;322.6;318.2;10.63;7.58;8.56;325.69;329.68;8.59;11.32
2017-04-06 04:00:00;323.42;318.93;10.39;7.43;8.47;326.26;330.38;8.31;10.95
2017-04-06 04:30:00;324.28;319.68;10.15;7.28;8.36;326.86;331.12;8.03;10.57
2017-04-06 05:00:00;325.18;320.47;9.91;7.13;8.32;327.51;331.93;7.75;10.2
2017-04-06 05:30:00;326.12;321.29;9.68;6.98;8.08;328.2;332.79;7.47;9.84
2017-04-06 06:00:00;327.11;322.15;9.45;6.84;8.54;328.95;333.72;7.19;9.47
2017-04-06 06:30:00;323.09;317.87;8.96;6.64;8.02;325.97;330.55;7.04;9.12
2017-04-06 07:00:00;318.63;313.37;8.53;6.49;7.1;322.87;327.14;6.9;8.81
2017-04-06 07:30:00;313.73;308.67;8.15;6.38;6.03;319.65;323.49;6.78;8.53
2017-04-06 08:00:00;308.4;303.84;7.84;6.31;5.83;316.33;319.61;6.69;8.28
2017-04-06 08:30:00;302.68;298.94;7.6;6.29;6.58;312.93;315.52;6.62;8.08
2017-04-06 09:00:00;296.66;294.04;7.44;6.31;6.75;309.47;311.23;6.58;7.91
2017-04-06 09:30:00;295.04;292.56;8.03;6.68;6.73;307.59;308.27;6.53;7.92
2017-04-06 10:00:00;293.64;291.23;8.62;7.06;7.44;305.68;305.32;6.49;7.94
2017-04-06 10:30:00;292.42;290.04;9.21;7.44;8.65;303.76;302.4;6.46;7.99
2017-04-06 11:00:00;291.35;288.97;9.8;7.83;9.18;301.81;299.52;6.44;8.06
2017-04-06 11:30:00;290.4;288.0;10.4;8.21;8.84;299.86;296.7;6.42;8.14
2017-04-06 12:00:00;289.56;287.11;11.01;8.6;9.75;297.9;293.94;6.41;8.25
2017-04-06 12:30:00;289.59;287.02;11.21;8.67;10.04;297.87;294.35;6.75;8.78
2017-04-06 13:00:00;289.61;286.93;11.42;8.74;9.01;297.85;294.72;7.1;9.3
2017-04-06 13:30:00;289.64;286.84;11.62;8.81;9.29;297.83;295.05;7.44;9.83
2017-04-06 14:00:00;289.67;286.75;11.83;8.88;10.47;297.82;295.35;7.79;10.36
2017-04-06 14:30:00;289.69;286.66;12.04;8.95;10.08;297.8;295.61;8.13;10.88
2017-04-06 15:00:00;289.72;286.58;12.24;9.02;9.69;297.79;295.85;8.47;11.41
2017-04-06 15:30:00;288.65;285.72;12.49;9.21;10.91;296.95;295.76;8.55;11.66
2017-04-06 16:00:00;287.62;284.9;12.74;9.4;11.65;296.12;295.66;8.63;11.91
2017-04-06 16:30:00;286.64;284.11;12.99;9.59;12.67;295.31;295.57;8.72;12.16
2017-04-06 17:00:00;285.69;283.36;13.25;9.78;13.05;294.52;295.49;8.8;12.41
2017-04-06 17:30:00;284.78;282.63;13.51;9.97;13.24;293.74;295.4;8.89;12.65
2017-04-06 18:00:00;283.9;281.93;13.78;10.17;12.02;292.97;295.33;8.98;12.9
2017-04-06 18:30:00;284.49;282.48;13.85;10.23;13.25;290.95;293.42;9.32;13.16
2017-04-06 19:00:00;285.07;283.03;13.92;10.3;13.46;289.08;291.6;9.67;13.44
2017-04-06 19:30:00;285.64;283.56;14.0;10.37;14.14;287.34;289.84;10.03;13.73
2017-04-06 20:00:00;286.21;284.1;14.08;10.43;13.08;285.72;288.17;10.39;14.03
2017-04-06 20:30:00;286.78;284.62;14.15;10.5;12.9;284.21;286.56;10.77;14.34
2017-04-06 21:00:00;287.33;285.14;14.23;10.57;13.58;282.81;285.02;11.15;14.66
2017-04-06 21:30:00;287.7;285.49;14.27;10.59;15.23;283.31;285.39;11.09;14.63
