UTC;model1.direcao_vento_100m;model1.direcao_vento_10m;model1.velocidade_vento_100m;model1.velocidade_vento_10m;model2.direcao_vento_10m;model2.direcao_vento_100m;model2.velocidade_vento_10m;model2.velocidade_vento_100m
2020-03-14 14:00:00;233.53;229.44;7.11;5.07;270.27;273.41;6.56;9.09
2020-03-14 14:30:00;239.51;236.73;6.66;4.69;270.29;273.75;6.68;9.26
2020-03-14 15:00:00;246.27;245.15;6.29;4.39;270.31;274.08;6.8;9.42
2020-03-14 15:30:00;253.74;254.52;6.02;4.21;266.35;270.46;6.54;9.04
2020-03-14 16:00:00;261.77;264.46;5.86;4.14;262.1;266.54;6.32;8.7
2020-03-14 16:30:00;270.07;274.41;5.82;4.21;257.56;262.32;6.14;8.41
2020-03-14 17:00:00;278.31;283.8;5.91;4.39;252.78;257.82;5.99;8.16
2020-03-14 17:30:00;286.16;292.23;6.11;4.68;247.79;253.07;5.89;7.97
2020-03-14 18:00:00;293.39;299.54;6.42;5.06;242.67;248.12;5.84;7.83
2020-03-14 18:30:00;294.79;301.24;5.99;4.73;234.94;240.54;5.79;7.64
2020-03-14 19:00:00;296.39;303.19;5.57;4.41;227.22;232.7;5.85;7.58
2020-03-14 19:30:00;298.25;305.46;5.15;4.09;219.78;224.9;6.01;7.67
2020-03-14 20:00:00;300.44;308.1;4.74;3.78;212.84;217.41;6.27;7.9
2020-03-14 20:30:00;303.05;311.2;4.33;3.48;206.53;210.44;6.61;8.25
2020-03-14 21:00:00;306.18;314.88;3.94;3.19;200.9;204.13;7.02;8.71
2020-03-14 21:30:00;309.99;319.27;3.56;2.91;202.11;204.94;7.63;9.4
2020-03-14 22:00:00;314.67;324.54;3.2;2.66;203.13;205.63;8.25;10.08
2020-03-14 22:30:00;320.49;330.85;2.87;2.43;204.01;206.24;8.87;10.77
2020-03-14 23:00:00;327.73;338.33;2.58;2.24;204.78;206.77;9.5;11.46
2020-03-14 23:30:00;336.67;347.03;2.33;2.1;205.45;207.25;10.12;12.15
2020-03-15 00:00:00;347.35;356.76;2.16;2.01;206.04;207.67;10.75;12.85
2020-03-15 00:30:00;337.02;346.02;2.36;2.1;205.7;207.38;10.85;13.04
2020-03-15 01:00:00;328.55;336.47;2.62;2.25;205.36;207.09;10.95;13.24
2020-03-15 01:30:00;321.75;328.35;2.94;2.46;205.03;206.82;11.04;13.44
2020-03-15 02:00:00;316.33;321.63;3.28;2.72;204.7;206.55;11.14;13.64
2020-03-15 02:30:00;311.96;316.11;3.65;3.0;204.38;206.3;11.24;13.84
2020-03-15 03:00:00;308.42;311.57;4.04;3.3;204.07;206.05;11.34;14.04
2020-03-15 03:30:00;305.5;307.82;4.44;3.63;206.47;208.77;10.99;13.63
2020-03-15 04:00:00;303.07;304.7;4.85;3.96;209.03;211.67;10.65;13.26
2020-03-15 04:30:00;301.02;302.07;5.26;4.31;211.75;214.72;10.33;12.92
2020-03-15 05:00:00;299.28;299.84;5.68;4.66;214.64;217.92;10.04;12.62
2020-03-15 05:30:00;297.77;297.92;6.11;5.02;217.69;221.27;9.78;12.36
2020-03-15 06:00:00;296.47;296.26;6.54;5.39;220.9;224.75;9.54;12.15
2020-03-15 06:30:00;296.54;296.16;6.78;5.6;224.35;229.19;9.14;11.78
2020-03-15 07:00:00;296.61;296.07;7.01;5.81;228.12;233.87;8.77;11.5
2020-03-15 07:30:00;296.67;295.99;7.24;6.02;232.19;238.76;8.44;11.29
2020-03-15 08:00:00;296.73;295.92;7.48;6.23;236.57;243.8;8.16;11.17
2020-03-15 08:30:00;296.79;295.84;7.71;6.44;241.23;248.9;7.93;11.13
2020-03-15 09:00:00;296.84;295.78;7.95;6.66;246.13;254.0;7.75;11.19
2020-03-15 09:30:00;296.89;295.71;8.18;6.87;246.44;253.78;7.81;11.31
2020-03-15 10:00:00;296.94;295.65;8.41;7.08;246.74;253.57;7.87;11.44
2020-03-15 10:30:00;296.98;295.6;8.65;7.29;247.04;253.36;7.93;11.57
2020-03-15 11:00:00;297.03;295.55;8.88;7.5;247.33;253.15;7.99;11.7
2020-03-15 11:30:00;297.07;295.5;9.12;7.72;247.62;252.95;8.05;11.82
2020-03-15 12:00:00;297.1;295.45;9.35;7.93;247.9;252.76;8.11;11.95
2020-03-15 12:30:00;293.75;292.17;9.04;7.67;248.63;253.22;8.17;12.08
2020-03-15 13:00:00;290.16;288.67;8.76;7.44;249.36;253.67;8.22;12.21
2020-03-15 13:30:00;286.36;284.96;8.52;7.24;250.07;254.12;8.27;12.34
2020-03-15 14:00:00;282.36;281.06;8.32;7.07;250.77;254.55;8.33;12.47
2020-03-15 14:30:00;278.17;276.98;8.16;6.94;251.47;254.98;8.38;12.6
2020-03-15 15:00:00;273.84;272.77;8.04;6.84;252.16;255.39;8.44;12.73
2020-03-15 15:30:00;269.42;268.46;7.97;6.78;251.78;255.06;8.58;12.88
2020-03-15 16:00:00;264.94;264.1;7.95;6.76;251.42;254.74;8.73;13.03
2020-03-15 16:30:00;260.47;259.73;7.98;6.77;251.07;254.42;8.87;13.18
2020-03-15 17:00:00;256.06;255.41;8.06;6.83;250.74;254.11;9.01;13.34
2020-03-15 17:30:00;251.75;251.19;8.18;6.93;250.41;253.81;9.16;13.49
2020-03-15 18:00:00;247.6;247.1;8.35;7.06;250.09;253.52;9.3;13.64
2020-03-15 18:30:00;250.67;249.5;8.78;7.29;248.48;252.07;9.27;13.56
2020-03-15 19:00:00;253.44;251.75;9.24;7.54;246.86;250.61;9.25;13.49
2020-03-15 19:30:00;255.95;253.85;9.71;7.8;245.23;249.14;9.24;13.42
2020-03-15 20:00:00;258.22;255.81;10.2;8.07;243.6;247.65;9.23;13.37
2020-03-15 20:30:00;260.28;257.64;10.7;8.35;241.97;246.15;9.24;13.32
2020-03-15 21:00:00;262.16;259.36;11.22;8.64;240.34;244.64;9.24;13.28
